"Dim.1" "Dim.2" "Dim.3"
"CHELSA_bio10_01" 0.902358430114097 0.364575668296235 0.0218599721267897
"CHELSA_bio10_02" 0.625179697159187 -0.564578612399395 0.130168848500366
"CHELSA_bio10_10" 0.923367988728071 0.148873604770783 -0.102157309244499
"CHELSA_bio10_11" 0.831996189152237 0.456137307617945 0.0710408882305162
"CHELSA_bio10_12" 0.0909704396013408 0.966122839249599 0.0971566206681695
"CHELSA_bio10_15" 0.551852051041042 -0.380929294444389 0.202066459451924
"CHELSA_bio10_16" 0.215122265859434 0.846856639845553 0.155710925696753
"CHELSA_bio10_17" -0.155273683419501 0.784140189826726 0.00322039785930985
"GLOBAL_SLOPE_10MIN" -0.0684647286915157 0.0221559672658136 0.867265067908503
"depthtobedrock2" 0.392046235452107 0.0880495957203552 -0.624047516900896
"meancarbon" -0.819271664293859 0.0334407038619264 -0.119879335319485
"meanpH" 0.534895860731528 -0.666464240818967 0.122220516463591
"meanwatercap" -0.588555015140038 0.13625655780831 0.133859820742153
